EquableClassID,State,Retirement System Name,Plan_FullName,Mortality_Category,Class_Name,Plan Type ,ARR,DiscRate,Inflation,FAS_EECont1,FAS_EECont1_YOS,FAS_EECont2,FAS_EECont2_YOS,FAS_Vest,FAS_EMCont,FAS Retirement Eligibility: Normal (Age/Years of Service),FAS_Retire25,FAS_Retire40,FAS_Years,FAS_Multiplier1,FAS_Multiplier1_YOS,FAS_Multiplier2,FAS_Multiplier2_YOS,FAS_Multiplier3,FAS_Multiplier3_YOS,FAS_Multiplier4,FAS_Multiplier4_YOS,FAS_Multiplier5,FAS_Multiplier5_YOS,FAS_Additive_Multipliers,FAS_CompoundCOLA,FAS_COLARate,FAS_CreditingRate,SSA_Enroll,DCGR_EECont,DCGR_EECont1_YOS,DCGR_ERCont1,DCGR_ERCont1_YOS,DCGR_ERCont2,DCGR_ERCont2_YOS,DCGR_ERCont3,DCGR_ERCont3_YOS,DCGR_ERCont4,DCGR_ERCont4_YOS,DCGR_FullVest,DCGR_GradeVest,DCGR_Grade1,DCGR_Grade1_YOS,DCGR_Grade2,DCGR_Grade2_YOS,DCGR_Grade3,DCGR_Grade3_YOS,DCGR_Grade4,DCGR_Grade4_YOS,DCGR_Grade5,DCGR_Grade5_YOS,DCGR_Grade6,DCGR_Grade6_YOS,DCGR_Grade7,DCGR_Grade7_YOS,DCGR_Grade8,DCGR_Grade8_YOS,DCGR_Grade9,DCGR_Grade9_YOS,DCGR_Grade10,DCGR_Grade10_YOS,GR_CreditingRate,FAS_Max_Pensionable_Salary,FAS_Replacement_Cap
1010102,Alabama,Alabama Employees Retirement System,Alabama Employees' Retirement System,General,AL ERS Regular Tier 2 ,FAS,0.0770,0.0770,0.0275,0.06000,99,,,10,0.0078,62/10,62,62,5,0.01650,99,,,,,,,,,0,0,0.0000,0.0400,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.8
1010202,Alabama,Alabama Employees Retirement System,Alabama Employees' Retirement System,Public Safety,AL ERS State Police Tier 2,FAS,0.0770,0.0770,0.0275,0.10000,99,,,10,0.0078,56/10,56,56,5,0.02380,99,,,,,,,,,0,0,0.0000,0.0400,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.8
1010302,Alabama,Alabama Employees Retirement System,Alabama Employees' Retirement System,Public Safety,AL ERS Local Police & Fire Tier 2,FAS,0.0770,0.0770,0.0275,0.07000,99,,,10,0.022,56/10,56,56,5,0.01650,99,,,,,,,,,0,0,0.0000,0.0400,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.8
1020102,Alabama,Alabama Teachers Retirement System,Alabama Teachers' Retirement System,Teachers,AL TRS Tier 2,FAS,0.0770,0.0770,0.0275,0.06000,99,,,10,0.0424,62/10,62,62,5,0.01650,99,,,,,,,,,0,0,0.0000,0.0400,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.8
2010130,Alaska,Alaska Public Employees’ Retirement System,Alaska Public Employees' Retirement System - Defined Contribution Retirement Plan,General,AK State & Local DC,DC,0.0738,0.0738,0.0250,,,,,,,,,,,,,,,,,,,,,,,,,No,0.0800,99,0.0500,99,,,,,,,5,1,0.25,3,0.5,4,1,5,,,,,,,,,,,,,,,,,
2010230,Alaska,Alaska Public Employees’ Retirement System,Alaska Public Employees' Retirement System - Defined Contribution Retirement Plan,Public Safety,AK Peace Officer & Firefighter DC,DC,0.0738,0.0738,0.0250,,,,,,,,,,,,,,,,,,,,,,,,,No,0.0800,99,0.0500,99,,,,,,,5,1,0.25,3,0.5,4,1,5,,,,,,,,,,,,,,,,,
2020130,Alaska,Alaska Teachers Retirement System,Alaska Teachers’ Retirement System - Defined Contribution Retirement Plan,Teachers,AK TRS DC,DC,0.0738,0.0738,0.0250,,,,,,,,,,,,,,,,,,,,,,,,,No,0.0800,99,0.0700,99,,,,,,,5,1,0.25,3,0.5,4,1,5,,,,,,,,,,,,,,,,,
3010103,Arizona,Arizona Corrections Officers Retirement Plan,Arizona Corrections Officers Retirement Plan - Tier 3,Public Safety,AZ CORP Tier 3,FAS,0.0730,0.0730,0.0250,0.04140,99,,,10,0.0775,55/10,55,55,5,0.01250,16,0.0150,21,0.0175,23,0.0200,26,0.0225,99,0,0,0.0150,0.0300,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.8
3010130,Arizona,Arizona Corrections Officers Retirement Plan,Arizona Corrections Officers Retirement Plan - Defined Contribution Plan,Public Safety,AZ CORP DC,DC,0.0730,0.0730,0.0250,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,0.0700,99,0.0500,99,,,,,,,3,1,0.25,2,0.5,3,1,4,,,,,,,,,,,,,,,,230000,0.75
3020130,Arizona,Arizona Elected Officials Retirement Plan,Arizona Elected Officials Defined Contribution Retirement System,General,AZ EORP DC,DC,0.0730,0.0730,0.0250,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0.0800,99,0.0600,99,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
