EquableClassID,State,Retirement System Name,Plan_Name,Occupation,Occupation_Categories,Class_Name,Tier_HireDates,Plan_Type ,"DB COLA, Amount Provisions","DB COLA, Accumulation Provision (Simple = 0, Compounding = 1)","DB COLA, Policy Provisions",COLA_Amount,"DB COLA, Distribution Provision (Automatic, Ad Hoc, Specially Funded Account, No Provision)","Risk-Sharing Tool Related to Benefits (No = 0, Yes = 1)",Risk-Sharing Tool Details,Social Security Coverage,"Choice Structure (Mandatory = 0, Opt-Out = 1, Opt-In = 2)",Choices Available (by Plan ID),"DC Default into Target Date Funds or Target Retirement Funds (Depends on Provider = 0, Yes = 1, No = 2)",GR Crediting/Interest Rate,FAS Benefit Supplement Binary,Legacy_Plan,Municipal_Plan,Annuity_Access
1010102,Alabama,Alabama Employees Retirement System,Alabama Employees' Retirement System,state and local general employees,"State General Employees, Local General Employees",AL ERS Regular Tier 2 ,"hired on or after January 1, 2013",FAS,No COLA,0,No COLA,0,Ad Hoc,0,,Yes,0,,,,1,0,0,
1010202,Alabama,Alabama Employees Retirement System,Alabama Employees' Retirement System,state police,State Police,AL ERS State Police Tier 2,"hired on or after January 1, 2013",FAS,No COLA,0,No COLA,0,Ad Hoc,0,,Yes,0,,,,1,0,0,
1010302,Alabama,Alabama Employees Retirement System,Alabama Employees' Retirement System,local police and firefighters,Local Police and Firefighters,AL ERS Local Police & Fire Tier 2,"hired on or after January 1, 2013",FAS,No COLA,0,No COLA,0,Ad Hoc,0,,Yes,0,,,,1,0,0,
1020102,Alabama,Alabama Teachers Retirement System,Alabama Teachers' Retirement System,public school teachers,Public School Teachers,AL TRS Tier 2,"hired on or after January 1, 2013",FAS,No COLA,0,No COLA,0,Ad Hoc,0,,Yes,0,,,,1,0,0,
2010130,Alaska,Alaska Public Employees’ Retirement System,Alaska Public Employees' Retirement System - Defined Contribution Retirement Plan,state and local general employees,"State General Employees, Local General Employees",AK PERS State & Local DC,"hired on or after July 1, 2006",DC,,,,,,0,DC Plan Has No Risk,No,0,,1,,1,0,0,1
2010230,Alaska,Alaska Public Employees’ Retirement System,Alaska Public Employees' Retirement System - Defined Contribution Retirement Plan,state and local police and firefighters,"State Police and Firefighters, Local Police and Firefighters",AK PERS Peace Officer & Firefighter DC,"hired on or after July 1, 2006",DC,,,,,,0,DC Plan Has No Risk,No,0,,1,,1,0,0,1
2020130,Alaska,Alaska Teachers Retirement System,Alaska Teachers’ Retirement System - Defined Contribution Retirement Plan,public school teachers,Public School Teachers,AK TRS DC,"hired on or after July 1, 2006",DC,,,,,,0,DC Plan Has No Risk,No,0,,1,,1,0,0,1
3010103,Arizona,Arizona Corrections Officers Retirement Plan,Arizona Corrections Officers Retirement Plan - Tier 3,correctional officers,Correctional Officers,AZ CORP Tier 3,"hired on or after July 1, 2018",FAS,Up to 2%,0,Linked to inflation,0.015,Automatic,1,Auto-Adjusted COLA Pegged to Funded Status,Yes,1,3010130,,,0,0,0,
3010130,Arizona,Arizona Corrections Officers Retirement Plan,Arizona Corrections Officers Retirement Plan - Defined Contribution Plan,correctional officers,Correctional Officers,AZ CORP DC,"hired on or after July 1, 2018",DC,,,,,,0,DC Plan Has No Risk,Mixed,2,3010103,1,,0,0,0,1
3020130,Arizona,Arizona Elected Officials Retirement Plan,Arizona Elected Officials Defined Contribution Retirement System,state elected officials,State Elected Officials,AZ EORP DC,"hired on or after January 1, 2014",DC,,,,,,0,DC Plan Has No Risk,Yes,0,,1,,0,0,0,1
3030103,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Tier 3,local police,Local Police,AZ PSPRS Tier 3 Maricopa Police,"hired on or after July 1, 2017",FAS,"Up to 2%, simple",0,Linked to inflation and funded status,0.015,Automatic,1,Auto-Adjusted COLA Pegged to Funded Status,Mixed,1,3030130,,,0,0,0,
3030130,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Defined Contribution Plan,local police,Local Police,AZ PSPRS DC Maricopa Police,"hired on or after July 1, 2017",DC,,,,,,0,DC Plan Has No Risk,Mixed,2,3030103,1,,0,0,0,1
3030203,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Tier 3,local police,Local Police,AZ PSPRS Tier 3 Pima Police,"hired on or after July 1, 2017",FAS,"Up to 2%, simple",0,Linked to inflation and funded status,0.015,Automatic,1,Auto-Adjusted COLA Pegged to Funded Status,Mixed,1,3030230,,,0,0,0,
3030230,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Defined Contribution Plan,local police,Local Police,AZ PSPRS DC Pima Police,"hired on or after July 1, 2017",DC,,,,,,0,DC Plan Has No Risk,Mixed,2,3030203,1,,0,0,0,1
3030303,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Tier 3,local police,Local Police,AZ PSPRS Tier 3 General Police,"hired on or after July 1, 2017",FAS,"Up to 2%, simple",0,Linked to inflation and funded status,0.015,Automatic,1,Auto-Adjusted COLA Pegged to Funded Status,Mixed,1,3030330,,,0,0,0,
3030330,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Defined Contribution Plan,local police,Local Police,AZ PSPRS DC General Police,"hired on or after July 1, 2017",DC,,,,,,0,DC Plan Has No Risk,Mixed,2,3030303,1,,0,0,0,1
3030403,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Tier 3,local firefighters,Local Firefighters,AZ PSPRS Tier 3 Maricopa Fire,"hired on or after July 1, 2017",FAS,"Up to 2%, simple",0,Linked to inflation and funded status,0.015,Automatic,1,Auto-Adjusted COLA Pegged to Funded Status,Mixed,1,3030430,,,0,0,0,
3030430,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Defined Contribution Plan,local firefighters,Local Firefighters,AZ PSPRS DC Maricopa Fire,"hired on or after July 1, 2017",DC,,,,,,0,DC Plan Has No Risk,Mixed,2,3030403,1,,0,0,0,1
3030503,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Tier 3,local firefighters,Local Firefighters,AZ PSPRS Tier 3 Pima Fire,"hired on or after July 1, 2017",FAS,"Up to 2%, simple",0,Linked to inflation and funded status,0.015,Automatic,1,Auto-Adjusted COLA Pegged to Funded Status,Mixed,1,3030530,,,0,0,0,
3030530,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Defined Contribution Plan,local firefighters,Local Firefighters,AZ PSPRS DC Pima Fire,"hired on or after July 1, 2017",DC,,,,,,0,DC Plan Has No Risk,Mixed,2,3030503,1,,0,0,0,1
3030603,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Tier 3,local firefighters,Local Firefighters,AZ PSPRS Tier 3 General Fire,"hired on or after July 1, 2017",FAS,"Up to 2%, simple",0,Linked to inflation and funded status,0.015,Automatic,1,Auto-Adjusted COLA Pegged to Funded Status,Mixed,1,3030630,,,0,0,0,
3030630,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Defined Contribution Plan,local firefighters,Local Firefighters,AZ PSPRS DC General Fire,"hired on or after July 1, 2017",DC,"Up to 2%, simple",0,Linked to inflation and funded status,0.015,Automatic,0,DC Plan Has No Risk,Mixed,2,3030603,1,,0,0,0,1
3040100,Arizona,Arizona State Retirement System,Arizona State Retirement System,state and local general employees,"State General Employees, Local General Employees",AZ SRS State,"hired on or after October 1, 2013",FAS,Ad hoc amount,0,Ad hoc,0,Ad Hoc,0,,Yes,0,,,,0,0,0,
3040200,Arizona,Arizona State Retirement System,Arizona State Retirement System,public school teachers,Public School Teachers,AZ SRS Teachers,"hired on or after October 1, 2013",FAS,Ad hoc amount,0,Ad hoc,0,Ad Hoc,0,,Yes,0,,,,0,0,0,
4010100,Arkansas,Arkansas Public Employees Retirement System,Arkansas Public Employees Retirement System,state and local general employees,"State General Employees, Local General Employees",AR PERS General,"hired on or after July 1, 2005",FAS,"3%, compounded",1,Fixed,0.03,Automatic,0,,Yes,0,,,,0,0,0,
4010200,Arkansas,Arkansas Public Employees Retirement System,Arkansas Public Employees Retirement System,state and local police and firefighters,"State Police and Firefighters, Local Police and Firefighters",AR PERS Police & Fire,"hired on or after July 1, 2005",FAS,"3%, compounded",1,Fixed,0.03,Automatic,0,,Yes,0,,,,0,0,0,
4020100,Arkansas,Arkansas Teachers Retirement System,Arkansas Teacher Retirement System,public school teachers,Public School Teachers,AR TRS Teachers,hired after 1937,FAS,"3%, simple",0,Fixed,0.03,Automatic,0,,Yes,0,,,,0,0,0,
4020200,Arkansas,Arkansas Teachers Retirement System,Arkansas Teacher Retirement System,public school non-instructional employees,Public School Non-Instructional,AR TRS Non-Instructional,hired after 1937,FAS,"3%, simple",0,Fixed,0.03,No provision,0,,Yes,0,,,,1,0,0,
4030102,Arkansas,Arkansas State Highway Employees’ Retirement System,Arkansas State Highway Employees Retirement System,state police,State Police,AR DOT Tier 2,"hired on or after April 3, 1997",FAS,"Up to 3%, compounded",1,Linked to inflation,0.0225,No provision,0,,Yes,0,,,,1,0,0,
5010101,California,California Public Employees Retirement System,California Public Employees Retirement Fund,state and local general employees,"State General Employees, Local General Employees",CalPERS State & Local Misc Tier 1,"hired on or after January 1, 2013",FAS,"Up to 2%, simple",0,Linked to inflation,0.015,Automatic,0,,Yes,0,,,,1,0,0,
5010102,California,California Public Employees Retirement System,California Public Employees Retirement Fund,state and local general employees,"State General Employees, Local General Employees",CalPERS State & Local Misc Tier 2,"hired on or after January 1, 2013",FAS,"Up to 2%, simple",0,Linked to inflation,0.015,Automatic,0,,Yes,0,,,,1,0,0,
5010301,California,California Public Employees Retirement System,California Public Employees Retirement Fund,state and local general employees,"State General Employees, Local General Employees",CalPERS State & Local Industrial Tier 1 Classic,"hired on or after January 1, 2013",FAS,"Up to 2%, simple",0,Linked to inflation,0.015,Automatic,0,,Mixed,0,,,,1,0,0,
5010302,California,California Public Employees Retirement System,California Public Employees Retirement Fund,state and local general employees,"State General Employees, Local General Employees",CalPERS State & Local Industrial Tier 2,"hired on or after January 1, 2013",FAS,"Up to 2%, simple",0,Linked to inflation,0.015,Automatic,0,,Mixed,0,,,,1,0,0,
5010401,California,California Public Employees Retirement System,California Public Employees Retirement Fund,state and local general employees,"State General Employees, Local General Employees",CalPERS State & Local Industrial Tier 1 PEPRA,"hired on or after January 1, 2013",FAS,"Up to 2%, simple",0,Linked to inflation,0.015,Automatic,0,,Mixed,0,,,,1,0,0,
5010500,California,California Public Employees Retirement System,California Public Employees Retirement Fund,state and local police and firefighters,"State Firefighters, Local Firefighters",CalPERS State Peace Officers and Firefighters Classic,"hired on or after January 1, 2013",FAS,"Up to 2%, simple",0,Linked to inflation,0.015,Automatic,0,,No,0,,,,1,0,0,
5010600,California,California Public Employees Retirement System,California Public Employees Retirement Fund,state and local police and firefighters,"State Firefighters, Local Firefighters",CalPERS State Peace Officers and Firefighters PEPRA,"hired on or after January 1, 2013",FAS,"Up to 2%, simple",0,Linked to inflation,0.015,Automatic,0,,No,0,,,,1,0,0,
5010700,California,California Public Employees Retirement System,California Public Employees Retirement Fund,state and local public safety employees,"State Public Safety Employees, Local Public Safety Employees",CalPERS State & Local Safety Classic,"hired on or after January 1, 2013",FAS,"Up to 2%, simple",0,Linked to inflation,0.015,Automatic,0,,No,0,,,,1,0,0,
5010800,California,California Public Employees Retirement System,California Public Employees Retirement Fund,state and local public safety employees,"State Public Safety Employees, Local Public Safety Employees",CalPERS State & Local Safety PEPRA,"hired on or after January 1, 2013",FAS,"Up to 2%, simple",0,Linked to inflation,0.015,Automatic,0,,No,0,,,,1,0,0,
5010900,California,California Public Employees Retirement System,California Public Employees Retirement Fund,state police,State Police,CalPERS Highway Patrol Classic,"hired on or after January 1, 2013",FAS,"Up to 2%, simple",0,Linked to inflation,0.015,Automatic,0,,No,0,,,,1,0,0,
5011000,California,California Public Employees Retirement System,California Public Employees Retirement Fund,state police,State Police,CalPERS Highway Patrol PEPRA,"hired on or after January 1, 2013",FAS,"Up to 2%, simple",0,Linked to inflation,0.015,Automatic,0,,No,0,,,,1,0,0,
5011100,California,California Public Employees Retirement System,California Public Employees Retirement Fund,public school non-instructional employees,Public School Non-Instructional,CalPERS Schools Classic,"hired on or after January 1, 2013",FAS,"Up to 2%, simple",0,Linked to inflation,0.015,Automatic,0,,Mixed,0,,,,1,0,0,
5011200,California,California Public Employees Retirement System,California Public Employees Retirement Fund,public school non-instructional employees,Public School Non-Instructional,CalPERS Schools PEPRA,"hired on or after January 1, 2013",FAS,"Up to 2%, simple",0,Linked to inflation,0.015,Automatic,0,,Mixed,0,,,,1,0,0,
5011300,California,California Public Employees Retirement System,California Public Employees Retirement Fund,state and local public safety employees,"State Public Safety Employees, Local Public Safety Employees",CalPERS Safety Public Agency Misc,"hired on or after January 1, 2012",FAS,"Up to 2%, simple",0,Linked to inflation,0.015,Automatic,0,,Mixed,0,,,,1,0,0,
5011400,California,California Public Employees Retirement System,California Public Employees Retirement Fund,state and local firefighters,"State Firefighters, Local Firefighters",CalPERS Safety Public Agency Fire,"hired on or after January 1, 2012",FAS,"Up to 2%, simple",0,Linked to inflation,0.015,Automatic,0,,Mixed,0,,,,1,0,0,
5011500,California,California Public Employees Retirement System,California Public Employees Retirement Fund,state and local police,"State Police, Local Police",CalPERS Safety Public Agency Police,"hired on or after January 1, 2012",FAS,"Up to 2%, simple",0,Linked to inflation,0.015,Automatic,0,,Mixed,0,,,,1,0,0,
