EquableClassID,Plan_FullName,Group,Years of Service,Annual Rate,Wage Inflation
1010102,Alabama Employees' Retirement System,Regular Members,0,0.05,0.03
1010102,Alabama Employees' Retirement System,Regular Members,1,0.04,0.03
1010102,Alabama Employees' Retirement System,Regular Members,2,0.04,0.03
1010102,Alabama Employees' Retirement System,Regular Members,3,0.04,0.03
1010102,Alabama Employees' Retirement System,Regular Members,4,0.04,0.03
1010102,Alabama Employees' Retirement System,Regular Members,5,0.04,0.03
1010102,Alabama Employees' Retirement System,Regular Members,6,0.0375,0.03
1010102,Alabama Employees' Retirement System,Regular Members,7,0.0375,0.03
1010102,Alabama Employees' Retirement System,Regular Members,8,0.0375,0.03
1010102,Alabama Employees' Retirement System,Regular Members,9,0.0375,0.03
1010102,Alabama Employees' Retirement System,Regular Members,10,0.0375,0.03
1010102,Alabama Employees' Retirement System,Regular Members,11,0.035,0.03
1010102,Alabama Employees' Retirement System,Regular Members,12,0.035,0.03
1010102,Alabama Employees' Retirement System,Regular Members,13,0.035,0.03
1010102,Alabama Employees' Retirement System,Regular Members,14,0.035,0.03
1010102,Alabama Employees' Retirement System,Regular Members,15,0.035,0.03
1010102,Alabama Employees' Retirement System,Regular Members,16,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,17,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,18,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,19,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,20,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,21,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,22,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,23,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,24,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,25,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,26,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,27,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,28,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,29,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,30,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,31,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,32,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,33,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,34,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,35,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,36,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,37,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,38,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,39,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,40,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,41,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,42,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,43,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,44,0.0325,0.03
1010102,Alabama Employees' Retirement System,Regular Members,45,0.0325,0.03
1010202,Alabama Employees' Retirement System,State Police,0,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,1,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,2,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,3,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,4,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,5,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,6,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,7,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,8,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,9,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,10,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,11,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,12,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,13,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,14,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,15,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,16,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,17,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,18,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,19,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,20,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,21,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,22,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,23,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,24,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,25,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,26,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,27,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,28,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,29,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,30,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,31,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,32,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,33,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,34,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,35,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,36,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,37,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,38,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,39,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,40,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,41,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,42,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,43,0.045,0.03
1010202,Alabama Employees' Retirement System,State Police,44,0.045,0.03
