EquableClassID,Plan_FullName,Class_Name,StartingSalary_25,StartingSalary_40
1010102,Alabama Employees' Retirement System,AL ERS Regular Tier 2,31460.84,46040.14
1010202,Alabama Employees' Retirement System,AL ERS State Police Tier 2,35706.39,59997.39
1010302,Alabama Employees' Retirement System,AL ERS Local Police & Fire Tier 2,35706.39,59997.39
1020102,Alabama Teachers' Retirement System,AL TRS Tier 2,40658.69,41223.68
2010130,Alaska Public Employees’ Retirement System,AK State & Local DC,69796.00,77247.00
2010230,Alaska Public Employees’ Retirement System,AK Peace Officer & Firefighter DC,100608.00,121378.23
2020130,Alaska Teachers’ Retirement System,AK TRS DC,79511.00,83522.52
3010103,Arizona Corrections Officers Retirement Plan,AZ CORP Tier 3,43281.63,44431.41
3010130,Arizona Corrections Officers Retirement Plan,AZ CORP DC,43281.63,44431.41
3020130,Arizona Elected Officials Retirement Plan,AZ EORP DC,45877.00,49044.00
3030103,Arizona Public Safety Personnel Retirement System,AZ PSPRS Tier 3 Maricopa Police,64006.63,84951.74
3030130,Arizona Public Safety Personnel Retirement System,AZ PSPRS DC Maricopa Police,64006.63,84951.74
3030203,Arizona Public Safety Personnel Retirement System,AZ PSPRS Tier 3 Pima Police,64006.63,84951.74
3030230,Arizona Public Safety Personnel Retirement System,AZ PSPRS DC Pima Police,64006.63,84951.74
3030303,Arizona Public Safety Personnel Retirement System,AZ PSPRS Tier 3 General Police,64006.63,84951.74
3030330,Arizona Public Safety Personnel Retirement System,AZ PSPRS DC General Police,64006.63,84951.74
3030403,Arizona Public Safety Personnel Retirement System - Tier 3,AZ PSPRS Tier 3 Maricopa Fire,53763.63,54733.86
3030430,Arizona Public Safety Personnel Retirement System - Tier 3,AZ PSPRS DC Maricopa Fire,53763.63,54733.86
3030503,Arizona Public Safety Personnel Retirement System - Tier 3,AZ PSPRS Tier 3 Pima Fire,53763.63,54733.86
3030530,Arizona Public Safety Personnel Retirement System - Tier 3,AZ PSPRS DC Pima Fire,53763.63,54733.86
3030603,Arizona Public Safety Personnel Retirement System - Tier 3,AZ PSPRS Tier 3 General Fire,53763.63,54733.86
3030630,Arizona Public Safety Personnel Retirement System - Tier 3,AZ PSPRS DC General Fire,53763.63,54733.86
3040100,Arizona State Retirement System,AZ SRS State,29110.53,31026.49
3040200,Arizona State Retirement System,AZ SRS Teachers,29110.53,31026.49
4010100,Arkansas Public Employees Retirement System,AR PERS General,31627.21,40137.45
4010200,Arkansas Public Employees Retirement System,AR PERS Police & Fire,31627.21,40137.45
4020100,Arkansas Teacher Retirement System,AR TRS Teachers,31154.95,39462.88
4020200,Arkansas Teacher Retirement System,AR TRS Non-Teachers,31154.95,39462.88
4030102,Arkansas State Highway Employees Retirement System,AR DOT Tier 2,32639.59,45595.50
5010101,California Public Employees Retirement Fund,CalPERS State & Local Misc Tier 1,46607.57,62822.91
5010102,California Public Employees Retirement Fund,CalPERS State & Local Misc Tier 2,46607.57,62822.91
5010301,California Public Employees Retirement Fund,CalPERS State & Local Industrial Tier 1 Classic,41079.59,56994.92
5010302,California Public Employees Retirement Fund,CalPERS State & Local Industrial Tier 2,54838.66,74559.38
5010401,California Public Employees Retirement Fund,CalPERS State & Local Industrial Tier 1 PEPRA,41079.59,56994.92
5010500,California Public Employees Retirement Fund,CalPERS State Peace Officers and Firefighters - Classic,61546.41,70967.64
5010600,California Public Employees Retirement Fund,CalPERS State Peace Officers and Firefighters PEPRA,98762.67,104156.28
5010700,California Public Employees Retirement Fund,CalPERS State & Local Safety Classic,54838.66,74559.38
5010800,California Public Employees Retirement Fund,CalPERS State & Local Safety PEPRA,61546.41,70967.64
5010900,California Public Employees Retirement Fund,CalPERS Highway Patrol Classic,98762.67,104156.28
5011000,California Public Employees Retirement Fund,CalPERS Highway Patrol PEPRA,69558.04,85342.27
5011100,California Public Employees Retirement Fund,CalPERS Schools Classic,29519.92,35196.60
5011200,California Public Employees Retirement Fund,CalPERS Schools PEPRA,29519.92,35196.60
5011300,California Public Employees Retirement Fund,CalPERS Safety Public Agency Misc,69558.04,85342.27
5011400,California Public Employees Retirement Fund,CalPERS Safety Public Agency Fire,69558.04,85342.27
5011500,California Public Employees Retirement Fund,CalPERS Safety Public Agency Police,69558.04,85342.27
5011600,California Public Employees Retirement Fund,CalPERS Safety Public Agency County Peace Officers,69558.04,85342.27
5011700,California Public Employees Retirement Fund,CalPERS Safety Public Agency Schools,69558.04,85342.27
5020100,California State Teachers’ Retirement System,CalSTRS PEPRA,54654.00,54654.00
5020260,California State Teachers’ Retirement System,CalSTRS GR Option,54654.00,54654.00
5030116,University of California Retirement System,CA UCRS Faculty PEPRA,68510.52,102479.40
5030202,University of California Retirement System,CA UCRS Safety PEPRA,88222.55,122298.14
5040100,California Judges Retirement Fund II,CA JRF 2 PEPRA,207424.00,208832.88
6010100,Colorado Public Employee Retirement Association - Schools Division Fund,CO PERA Schools Division,29255.44,40338.64
6010200,Colorado Public Employee Retirement Association - Denver Public Schools Fund,CO PERA Denver Schools,35618.56,49306.99
6010300,Colorado Public Employee Retirement Association - Schools Division Fund,CO PERA State General,29255.44,40338.64
6010400,Colorado Public Employee Retirement Association - State Division Fund,CO PERA State Troopers,36979.96,55856.68
6010500,Colorado Public Employee Retirement Association - Local Division Fund,CO PERA Local Division,32059.28,57782.66
6020130,Colorado Public Employee Retirement Association - State Division Fund,CO PERAChoice DC State General,36979.96,55856.68
6020230,Colorado Public Employee Retirement Association - State Division Fund,CO PERAChoice DC Universities & Colleges,36979.96,55856.68
6020330,Colorado Public Employee Retirement Association - State Division Fund,CO PERAChoice DC State Public Safety,36979.96,55856.68
6020430,Colorado Public Employee Retirement Association - Local Division Fund,CO PERAChoice DC Local Division,32059.28,57782.66
6030107,Colorado Fire and Police Pension Association,CO P&F Post-2007,56650.68,56522.46
7010100,Connecticut Municipal Employees Retirement System,CT MERS General (Not SSA Covered),33905.28,49098.33
7010200,Connecticut Municipal Employees Retirement System,CT MERS General (SSA Covered),33905.28,49098.33
7010300,Connecticut Municipal Employees Retirement System,CT MERS Safety (Not SSA Covered),75780.63,109206.08
7010400,Connecticut Municipal Employees Retirement System,CT MERS Safety (SSA Covered),75780.63,109206.08
7020100,Connecticut State Employees Retirement System,CT SERS Non-Hazardous,28846.64,44304.72
7020200,Connecticut State Employees Retirement System,CT SERS Hazardous,37873.13,44891.57
7030100,Connecticut State Teachers’ Retirement System,CT TRS,51791.15,62157.59
8010100,Delaware State Employees’ Pension Plan,DE SEPP General,32669.16,36300.49
8010200,Delaware State Employees’ Pension Plan,DE SEPP Teachers,32669.16,36300.49
9010103,District of Columbia Police Officers and Fire Fighters' Retirement Fund,DC POFRF Fire,57931.00,63724.10
9010203,District of Columbia Police Officers and Fire Fighters' Retirement Fund,DC POFRF Police,63970.00,63970.00
9020100,District of Columbia Teachers' Retirement Fund,DC TRP,69481.13,93556.65
10010100,Florida Retirement System - Defined Benefit Plan,FL RS Pension Regular Class Non-K-12,30051.42,33831.20
10010130,Florida Retirement System Investment Plan,FL RS DC Regular Class K-12 Teachers,28198.10,31017.91
10010200,Florida Retirement System - Defined Benefit Plan,FL RS Pension Regular Class K-12 Teachers,28198.10,31017.91
10010230,Florida Retirement System Investment Plan,FL RS DC Regular Class Non-K-12,30051.42,33831.20
10020100,Florida Retirement System - Defined Benefit Plan,FL RS Pension Special Risk Class,42687.89,46811.95
